epoch,accuracy,learning_rate,loss,top2_accuracy,val_accuracy,val_loss,val_top2_accuracy
0,0.4073987603187561,9.999999747378752e-05,1.9306809902191162,0.5535068511962891,0.7186512351036072,0.9073218107223511,0.8345627188682556
1,0.6445326209068298,9.999999747378752e-05,1.2710586786270142,0.7653168439865112,0.7323498129844666,0.8647791743278503,0.8735511302947998
2,0.6945968270301819,9.999999747378752e-05,1.0754001140594482,0.8126969337463379,0.7597470879554749,0.8049679398536682,0.8872497081756592
3,0.7191037535667419,9.999999747378752e-05,0.929693341255188,0.8451394438743591,0.7808219194412231,0.6412143111228943,0.9020020961761475
4,0.7501458525657654,9.999999747378752e-05,0.8312110900878906,0.8731473684310913,0.7713382244110107,0.7125726342201233,0.9114857912063599
5,0.7701015472412109,9.999999747378752e-05,0.7531901597976685,0.8905356526374817,0.7618545889854431,0.7112881541252136,0.9009483456611633
6,0.772085428237915,9.999999747378752e-05,0.7129663825035095,0.8953203558921814,0.792413055896759,0.5717259645462036,0.9178082346916199
7,0.7899404764175415,9.999999747378752e-05,0.6511045098304749,0.9072237014770508,0.8008430004119873,0.5453298091888428,0.912539541721344
8,0.8132804036140442,9.999999747378752e-05,0.5802743434906006,0.9255455732345581,0.7966280579566956,0.5659161806106567,0.9272918701171875
9,0.8140973448753357,9.999999747378752e-05,0.5670279860496521,0.924495279788971,0.8061116933822632,0.5568163394927979,0.9262381196022034
10,0.8250671029090881,9.999999747378752e-05,0.5227757096290588,0.9328976273536682,0.8071654438972473,0.5474428534507751,0.931506872177124
11,0.8316022753715515,9.999999747378752e-05,0.4995184540748596,0.940716564655304,0.8103266358375549,0.5725668668746948,0.937829315662384
12,0.8540086150169373,4.999999873689376e-05,0.4475875198841095,0.9516863226890564,0.8134878873825073,0.567875862121582,0.9304531216621399
13,0.8611273169517517,4.999999873689376e-05,0.4205889403820038,0.9527366161346436,0.8271865248680115,0.5573990345001221,0.937829315662384
14,0.8769984841346741,4.999999873689376e-05,0.38414686918258667,0.9618391990661621,0.822971522808075,0.5499030351638794,0.9409905076026917
